part_of_speech,english,greek,category
noun,car,αμάξι,neuter
noun,well,πηγάδι,neuter
noun,turkey,γαλοπούλα,feminine
noun,use,χρήση,feminine
noun,honey,μέλι,neuter
noun,ice,πάγος,masculine
noun,ice cream,παγωτό,neuter
noun,ice cube,παγάκι,neuter
noun,lamb,αρνί,neuter
noun,lemon,λεμόνι,neuter
noun,library,βιβλιοθήκη,feminine
noun,life,ζωή,feminine
noun,lion,λιοντάρι,neuter
noun,magazine,περιοδικό,neuter
noun,map,χάρτης,masculine
noun,"meal, lunch",γεύμα,neuter
noun,menu,μενού,neuter
noun,midday,μεσημέρι,neuter
noun,middle,μέση,feminine
noun,midnight,μεσάνυχτα,neuter
noun,milk,γάλα,neuter
noun,mint,μέντα,feminine
noun,minute,λεπτό,neuter
noun,money,λεφτά,neuter
noun,month,μήνας,masculine
noun,mosquito,κουνούπι,neuter
noun,name,όνομα,neuter
noun,"nap, snooze",υπνάκος,masculine
noun,newspaper,εφημερίδα,feminine
noun,owl,κουκουβάγια,feminine
noun,park,πάρκο,neuter
noun,pet,κατοικίδιο,neuter
noun,pig,γουρούνι,neuter
noun,wind,άνεμος,masculine
noun,stupidity,βλακεία,feminine
noun,"revelation, apocalypse",αποκάλυψη,feminine
noun,postage stamp,γραμματόσημο,neuter
noun,mythology,μυθολογία,feminine
noun,planet,πλανήτης,masculine
noun,wave,κύμα,neuter
noun,suicide,αυτοκτονία,feminine
noun,"rebel, revolutionary",επαναστάτης,masculine
noun,"break-up, division",χωρισμός,masculine
noun,"painting, decorating",βάψιμο,neuter
noun,graduation,αποφοίτηση,feminine
noun,"maniac, lunatic",μανιακός,masculine
noun,"instructions, directions",οδηγίες,masculine
noun,host,οικοδεσπότης,masculine
noun,pocket,τσέπη,feminine
noun,expression,έκφραση,feminine
noun,eagle,αετός,masculine
noun,"shame, pity",κρίμα,neuter
noun,"observer, inspector",παρατηρητής,masculine
noun,prediction,πρόβλεψη,feminine
noun,puppet,μαριονέτα,feminine
noun,"cooperation, collaboration",συνεργασία,feminine
noun,past,παρελθόν,neuter
noun,style,στυλ,neuter
noun,coupon,κουπόνι,neuter
noun,Athenian,Αθηναίος,masculine
noun,parachute,αλεξίπτωτο,neuter
noun,"tray, disc, hard drive",δίσκος,masculine
noun,"swamp, marsh",βάλτος,masculine
noun,"habit, custom",συνήθεια,feminine
noun,writing,γραφή,feminine
noun,admirer,θαυμαστής,masculine
noun,"appointment, date",ραντεβού,neuter
noun,"domination, supremacy",κυριαρχία,feminine
noun,"category, accusation",κατηγορία,feminine
noun,studio,στούντιο,neuter
noun,"guide, driver",οδηγός,masculine
noun,south,νότος,masculine
noun,air-conditioning,κλιματισμός,masculine
noun,prince,πρίγκιπας,masculine
noun,"urge, momentum",ορμή,feminine
noun,"hysteria, hysterics",υστερία,feminine
noun,"liberation, release, deregulation",απελευθέρωση,feminine
noun,reptile,ερπετό,neuter
noun,"cart, wagon",κάρο,neuter
noun,intelligence,ευφυΐα,feminine
noun,survival,επιβίωση,feminine
noun,headphones,ακουστικά,neuter
noun,"politics, policy",πολιτική,feminine
noun,invitation,πρόσκληση,feminine
noun,"branch, stick, sprig",κλαδί,neuter
noun,point (score),πόντος,masculine
noun,investor,επενδυτής,masculine
noun,"scream, yell",κραυγή,feminine
noun,"steering wheel, handlebars",τιμόνι,neuter
noun,"expansion, extension",επέκταση,feminine
noun,"counter, countertop, stand, bench",πάγκος,masculine
noun,"board, council, committee",συμβούλιο,neuter
noun,champagne,σαμπάνια,feminine
noun,lightning,αστραπή,feminine
noun,mince meat,κιμάς,masculine
noun,confusion,σύγχυση,feminine
noun,"cord, lace",κορδόνι,neuter
noun,stepmother,μητριά,feminine
noun,bribery,δωροδοκία,feminine
noun,warning,προειδοποίηση,feminine
noun,"carbon, coal",άνθρακας,masculine
noun,cell (biological),κύτταρο,neuter
noun,grass,γρασίδι,neuter
noun,"riches, wealth",πλούτη,neuter
noun,depth,βάθος,neuter
noun,"effort, attempt",προσπάθεια,feminine
noun,slavery,δουλεία,feminine
noun,"slap, smack",χαστούκι,neuter
noun,theft,κλοπή,feminine
noun,"shave, shaving",ξύρισμα,neuter
noun,"favour, grace",χάρη,feminine
noun,emphasis,έμφαση,feminine
noun,"repetition, recurrence",επανάληψη,feminine
noun,"laugh, laughter",γέλιο,neuter
noun,prisoner,κρατούμενος,masculine
noun,homosexual,ομοφυλόφιλος,masculine
noun,amateur,ερασιτέχνης,masculine
noun,communication,επικοινωνία,feminine
noun,"point of view, opinion",άποψη,feminine
noun,"memory, recollection",ανάμνηση,feminine
noun,"CV, resume",βιογραφικό,neuter
noun,shield,ασπίδα,feminine
noun,stomach,στομάχι,neuter
noun,poet,ποιητής,masculine
noun,"competition, contest",διαγωνισμός,masculine
noun,gene,γονίδιο,neuter
noun,"rapport, attachment, tying up",δέσιμο,neuter
noun,"executive, stalk, stem",στέλεχος,masculine
noun,postponement,αναβολή,feminine
noun,phone call,τηλεφώνημα,neuter
noun,oil,λάδι,neuter
noun,"canyon, gorge",φαράγγι,neuter
noun,"ignorance, unawareness",άγνοια,feminine
noun,volcano,ηφαίστειο,neuter
noun,"device, appliance",συσκευή,feminine
noun,"sadness, sorrow",λύπη,feminine
noun,scale,κλίμακα,feminine
noun,"charisma, gift, talent",χάρισμα,neuter
noun,"indigenous person, aboriginal",ιθαγενής,masculine
noun,general,στρατηγός,masculine
noun,meaning,νόημα,neuter
noun,"registration, sign-up, recording",εγγραφή,feminine
noun,insult,προσβολή,feminine
noun,"antics, nonsense",χαζομάρες,masculine
noun,"tie, bond, relationship, affair",δεσμός,masculine
noun,spectrum,φάσμα,neuter
noun,"diet, nutrition",διατροφή,feminine
noun,railing,κάγκελα,neuter
noun,"stop, attitude, posture",στάση,feminine
noun,"demand, market demand",ζήτηση,feminine
noun,"heartbeat, pulse",παλμός,masculine
noun,reading,ανάγνωση,feminine
